Test Set,Kernel,deg,Negative Accuracy(Specificity),Positive Accuracy(Sensitivity),Total Accuracy
transfer_1,linear,-,34.92063492,79.16666667,0.51010101
transfer_2,linear,-,63.07692308,52.17391304,0.602272727
transfer_3,linear,-,78.26086957,70,0.757575758
transfer_4,linear,-,84.09090909,36.36363636,0.681818182
transfer_5,linear,-,77.27272727,54.54545455,0.696969697
transfer_6,linear,-,76.19047619,45.83333333,0.651515152
transfer_7,linear,-,79.41176471,53.125,0.666666667
transfer_8,linear,-,85,50,0.659090909
transfer_9,linear,-,83.33333333,31.25,0.454545455
transfer_10,linear,-,66.66666667,63.88888889,0.651515152
transfer_11,linear,-,75,50,0.606060606
transfer_12,linear,-,78.125,50,0.636363636
transfer_13,linear,-,65.78947368,50,0.590909091
transfer_14,linear,-,69.04761905,66.66666667,0.681818182
transfer_15,linear,-,59.52380952,58.33333333,0.590909091
transfer_16,linear,-,47.5,42.30769231,0.454545455
transfer_17,linear,-,47.22222222,56.66666667,0.515151515
transfer_18,linear,-,66.66666667,47.22222222,0.560606061
transfer_19,linear,-,78.94736842,50,0.666666667
transfer_20,linear,-,78.26086957,55,0.712121212
transfer_21,linear,-,55,100,0.590909091
transfer_22,linear,-,60,100,0.636363636
transfer_23,linear,-,65,100,0.681818182
transfer_24,linear,-,50,100,0.545454545
,,,,,
,,,67.67947225,60.93931142,0.61674032
